     # analyt      conj_grad  pre_conj_grad
      -0.002649    -0.00254501    -0.00254501
      -0.003686     -0.0036363     -0.0036363
      -0.004168    -0.00412805    -0.00412805
      -0.004401    -0.00436251    -0.00436251
      -0.004517    -0.00447173    -0.00447173
      -0.004576    -0.00452772    -0.00452772
      -0.004605    -0.00455165    -0.00455165
      -0.004618    -0.00456253    -0.00456253
      -0.004618    -0.00456253    -0.00456253
      -0.004605    -0.00455165    -0.00455165
      -0.004576    -0.00452772    -0.00452772
      -0.004517    -0.00447173    -0.00447173
      -0.004401    -0.00436251    -0.00436251
      -0.004168    -0.00412805    -0.00412805
      -0.003686     -0.0036363     -0.0036363
      -0.002649    -0.00254501    -0.00254501
      -0.003686     -0.0036363     -0.0036363
      -0.005339    -0.00538078    -0.00538078
      -0.006158     -0.0062311     -0.0062311
      -0.006569    -0.00664126    -0.00664126
      -0.006779    -0.00684982    -0.00684982
      -0.006886    -0.00694659    -0.00694659
       -0.00694    -0.00699705    -0.00699705
      -0.006962    -0.00701477    -0.00701477
      -0.006962    -0.00701477    -0.00701477
       -0.00694    -0.00699705    -0.00699705
      -0.006886    -0.00694659    -0.00694659
      -0.006779    -0.00684982    -0.00684982
      -0.006569    -0.00664126    -0.00664126
      -0.006158     -0.0062311     -0.0062311
      -0.005339    -0.00538078    -0.00538078
      -0.003686     -0.0036363     -0.0036363
      -0.004168    -0.00412805    -0.00412805
      -0.006158     -0.0062311     -0.0062311
      -0.007192    -0.00728984    -0.00728984
       -0.00773    -0.00783333    -0.00783333
       -0.00801    -0.00809948    -0.00809948
      -0.008155    -0.00824014    -0.00824014
      -0.008229    -0.00830215    -0.00830215
      -0.008259    -0.00833034    -0.00833034
      -0.008259    -0.00833034    -0.00833034
      -0.008229    -0.00830215    -0.00830215
      -0.008155    -0.00824014    -0.00824014
       -0.00801    -0.00809948    -0.00809948
       -0.00773    -0.00783333    -0.00783333
      -0.007192    -0.00728984    -0.00728984
      -0.006158     -0.0062311     -0.0062311
      -0.004168    -0.00412805    -0.00412805
      -0.004401    -0.00436251    -0.00436251
      -0.006569    -0.00664126    -0.00664126
       -0.00773    -0.00783333    -0.00783333
      -0.008348    -0.00844182    -0.00844182
      -0.008677    -0.00876381    -0.00876381
       -0.00885    -0.00891934    -0.00891934
      -0.008938    -0.00900119    -0.00900119
      -0.008975    -0.00903102    -0.00903102
      -0.008975    -0.00903102    -0.00903102
      -0.008938    -0.00900119    -0.00900119
       -0.00885    -0.00891934    -0.00891934
      -0.008677    -0.00876381    -0.00876381
      -0.008348    -0.00844182    -0.00844182
       -0.00773    -0.00783333    -0.00783333
      -0.006569    -0.00664126    -0.00664126
      -0.004401    -0.00436251    -0.00436251
      -0.004517    -0.00447173    -0.00447173
      -0.006779    -0.00684982    -0.00684982
       -0.00801    -0.00809948    -0.00809948
      -0.008677    -0.00876381    -0.00876381
      -0.009036    -0.00910196    -0.00910196
      -0.009228    -0.00928312    -0.00928312
      -0.009326    -0.00936644    -0.00936644
      -0.009367    -0.00940362    -0.00940362
      -0.009367    -0.00940362    -0.00940362
      -0.009326    -0.00936644    -0.00936644
      -0.009228    -0.00928312    -0.00928312
      -0.009036    -0.00910196    -0.00910196
      -0.008677    -0.00876381    -0.00876381
       -0.00801    -0.00809948    -0.00809948
      -0.006779    -0.00684982    -0.00684982
      -0.004517    -0.00447173    -0.00447173
      -0.004576    -0.00452772    -0.00452772
      -0.006886    -0.00694659    -0.00694659
      -0.008155    -0.00824014    -0.00824014
