       # iter     analytical       residual
              0       0.373838      0.0273171
              1       0.246852      0.0119852
              2       0.134825     0.00719644
              3      0.0990697     0.00556974
              4      0.0633192     0.00272002
              5      0.0396831     0.00210832
              6      0.0268437    0.000964785
              7      0.0171244    0.000690075
              8      0.0128819    0.000284302
              9      0.0125268    0.000161892
             10      0.0121073    4.69777e-05
