       # iter     analytical       residual
              0       0.908638     0.00911032
              1       0.825405     0.00829979
              2       0.749577     0.00756138
              3       0.680495     0.00688866
              4       0.617559     0.00627579
              5       0.560222     0.00571744
              6       0.507987     0.00520877
              7       0.460398     0.00474522
              8       0.417045     0.00432248
              9       0.377554     0.00393664
             10       0.341589     0.00358417
             11       0.308843     0.00326194
             12       0.279041     0.00296722
             13       0.251932      0.0026976
             14       0.227287     0.00245096
             15       0.204894     0.00222541
             16       0.184563     0.00201924
             17       0.166114     0.00183092
             18       0.149387     0.00165902
             19        0.13423     0.00150225
             20       0.120505     0.00135939
             21       0.108085     0.00122935
             22      0.0968539     0.00111106
             23       0.086703     0.00100358
             24      0.0775342    0.000905984
             25       0.069257    0.000817459
             26      0.0617886    0.000737215
             27      0.0550532    0.000664543
             28      0.0489819    0.000598768
             29      0.0435114    0.000539286
             30      0.0385844    0.000485523
             31      0.0341486    0.000436965
             32      0.0301564    0.000393128
             33      0.0265647     0.00035358
             34      0.0233344    0.000317916
             35      0.0204298    0.000285771
             36       0.017819     0.00025681
             37      0.0154727     0.00023073
             38      0.0133647    0.000207252
             39      0.0114712    0.000186124
             40          0.011    0.000167118
             41      0.0109403    0.000150026
             42      0.0108871    0.000134659
             43      0.0108398    0.000120848
             44      0.0107977    0.000108437
             45      0.0107602    9.72873e-05
