       # iter     analytical       residual
              0       0.373838      0.0273171
              1       0.246852      0.0119852
              2       0.134825     0.00719644
              3      0.0990697     0.00556974
              4      0.0633192     0.00272002
              5      0.0396831     0.00210832
              6      0.0268437    0.000964785
              7      0.0171244    0.000690075
              8      0.0128819    0.000284302
              9      0.0125268    0.000161892
             10      0.0121073    4.69777e-05
             11      0.0121952    2.44088e-05
             12      0.0123483    1.86341e-05
             13      0.0123976     1.1033e-05
             14      0.0124084    3.06159e-06
             15      0.0124235    1.25879e-06
             16      0.0124306    4.80164e-07
