       # iter     analytical       residual
              0       0.987625      0.0098794
              1       0.975398     0.00976026
              2        0.96332     0.00964255
              3       0.951387     0.00952626
              4       0.939598     0.00941138
              5       0.927951     0.00929788
              6       0.916444     0.00918575
              7       0.905076     0.00907497
              8       0.893846     0.00896553
              9       0.882751      0.0088574
             10       0.871789     0.00875059
             11        0.86096     0.00864506
             12       0.850261      0.0085408
             13       0.839692      0.0084378
             14        0.82925     0.00833604
             15       0.818934     0.00823551
             16       0.808742     0.00813619
             17       0.798673     0.00803807
             18       0.788726     0.00794113
             19       0.778898     0.00784536
             20       0.769189     0.00775075
             21       0.759597     0.00765728
             22       0.750121     0.00756493
             23       0.740759      0.0074737
             24        0.73151     0.00738357
             25       0.722373     0.00729452
             26       0.713346     0.00720655
             27       0.704427     0.00711964
             28       0.695616     0.00703378
             29       0.686912     0.00694895
             30       0.678312     0.00686515
             31       0.669816     0.00678236
             32       0.661423     0.00670056
             33       0.653131     0.00661976
             34       0.644939     0.00653992
             35       0.636846     0.00646105
             36        0.62885     0.00638313
             37       0.620951     0.00630615
             38       0.613147      0.0062301
             39       0.605437     0.00615496
             40        0.59782     0.00608073
             41       0.590295     0.00600739
             42       0.582861     0.00593494
             43       0.575517     0.00586336
             44       0.568261     0.00579264
             45       0.561093     0.00572277
             46       0.554012     0.00565374
             47       0.547015     0.00558554
             48       0.540104     0.00551816
             49       0.533276      0.0054516
             50        0.52653     0.00538583
             51       0.519866     0.00532085
             52       0.513282     0.00525665
             53       0.506778     0.00519322
             54       0.500352     0.00513055
             55       0.494004     0.00506863
             56       0.487733     0.00500744
             57       0.481538     0.00494699
             58       0.475417     0.00488726
             59       0.469371     0.00482823
             60       0.463397     0.00476993
             61       0.457496     0.00471231
             62       0.451667     0.00465538
             63       0.445908     0.00459913
             64       0.440218     0.00454355
             65       0.434598     0.00448862
             66       0.429045     0.00443434
             67        0.42356      0.0043807
             68       0.418142      0.0043277
             69       0.412789     0.00427532
             70       0.407501     0.00422356
             71       0.402277      0.0041724
             72       0.397117     0.00412184
             73       0.392019     0.00407188
             74       0.386984      0.0040225
             75       0.382009     0.00397369
             76       0.377095     0.00392548
             77       0.372241     0.00387784
             78       0.367445     0.00383075
             79       0.362708     0.00378422
             80       0.358029     0.00373823
             81       0.353407     0.00369277
             82       0.348841     0.00364784
             83       0.344331     0.00360344
             84       0.339876     0.00355955
             85       0.335475     0.00351617
             86       0.331128     0.00347329
             87       0.326834     0.00343091
             88       0.322593     0.00338902
             89       0.318403     0.00334761
             90       0.314265     0.00330668
             91       0.310177     0.00326622
             92        0.30614     0.00322623
             93       0.302152     0.00318669
             94       0.298213     0.00314762
             95       0.294322     0.00310899
             96       0.290479     0.00307081
             97       0.286684     0.00303306
             98       0.282935     0.00299575
             99       0.279232     0.00295887
            100       0.275575     0.00292241
            101       0.271963     0.00288637
            102       0.268395     0.00285076
            103       0.264872     0.00281559
            104       0.261392     0.00278082
            105       0.257955     0.00274646
            106        0.25456      0.0027125
            107       0.251208     0.00267892
            108       0.247897     0.00264573
            109       0.244628     0.00261293
            110       0.241398      0.0025805
