       # iter     analytical       residual
              0       0.974463      0.0106352
              1       0.949562     0.00950848
              2        0.92528     0.00927185
              3       0.901603     0.00904112
              4       0.878514     0.00881612
              5       0.856001     0.00859673
              6       0.834047     0.00838279
              7        0.81264     0.00817418
              8       0.791766     0.00797076
              9       0.771411      0.0077724
             10       0.751563     0.00757898
             11       0.732209     0.00739037
             12       0.713337     0.00720646
             13       0.694935     0.00702712
             14       0.676991     0.00685224
             15       0.659493     0.00668172
             16       0.642432     0.00651544
             17       0.625796      0.0063533
             18       0.609574     0.00619519
             19       0.593757     0.00604102
             20       0.578334     0.00589068
             21       0.563296     0.00574407
             22       0.548633     0.00560111
             23       0.534336      0.0054617
             24       0.520396     0.00532575
             25       0.506805     0.00519316
             26       0.493553     0.00506387
             27       0.480633     0.00493776
             28       0.468036     0.00481478
             29       0.455755     0.00469483
             30       0.443781      0.0045778
             31       0.432107     0.00446369
             32       0.420727     0.00435237
             33       0.409631     0.00424374
             34       0.398815     0.00413777
             35       0.388271     0.00403443
             36       0.377991     0.00393358
             37       0.367971     0.00383514
             38       0.358202     0.00373904
             39        0.34868     0.00364538
             40       0.339398     0.00355396
             41       0.330351     0.00346472
             42       0.321531     0.00337759
             43       0.312935     0.00329251
             44       0.304557     0.00320952
             45       0.296391     0.00312859
             46       0.288439     0.00304958
             47       0.280688     0.00297242
             48       0.273135     0.00289708
             49       0.265775     0.00282351
             50       0.258602     0.00275165
             51       0.251612     0.00268158
             52         0.2448     0.00261327
             53       0.238163     0.00254658
             54       0.231695     0.00248146
             55       0.225394     0.00241787
             56       0.219254     0.00235577
             57       0.213272     0.00229514
             58       0.207445     0.00223593
             59       0.201775     0.00217812
             60       0.196252     0.00212176
             61       0.190872     0.00206687
             62       0.185631     0.00201329
             63       0.180526     0.00196098
             64       0.175554     0.00190992
             65       0.170711     0.00186009
             66       0.165995     0.00181144
             67       0.161401     0.00176396
             68       0.156928     0.00171763
             69       0.152571     0.00167241
             70       0.148329     0.00162828
             71       0.144199     0.00158522
             72       0.140177      0.0015433
             73       0.136261      0.0015025
             74       0.132448     0.00146269
             75       0.128736     0.00142386
             76       0.125123     0.00138598
             77       0.121605     0.00134903
             78       0.118181       0.001313
             79       0.114848     0.00127785
             80       0.111604     0.00124358
             81       0.108447     0.00121017
             82       0.105374     0.00117758
             83       0.102383     0.00114581
             84      0.0994727     0.00111484
             85      0.0966406     0.00108464
             86      0.0938848     0.00105521
             87      0.0912033     0.00102653
             88      0.0885942    0.000998699
             89      0.0860558    0.000971582
             90      0.0835861    0.000945156
             91      0.0811835    0.000919405
             92      0.0788463    0.000894312
             93      0.0765727    0.000869864
             94      0.0743611    0.000846044
             95      0.0722099    0.000822839
             96      0.0701176    0.000800234
             97      0.0680826    0.000778215
             98      0.0661035    0.000756768
             99      0.0641787     0.00073588
            100       0.062307    0.000715537
            101      0.0604868    0.000695726
            102      0.0587168    0.000676436
            103      0.0569958    0.000657652
            104      0.0553225    0.000639364
            105      0.0536955    0.000621559
            106      0.0521136    0.000604226
            107      0.0505757    0.000587353
            108      0.0490806    0.000570976
            109      0.0476272    0.000555064
            110      0.0462143    0.000539576
            111      0.0448409    0.000524501
            112      0.0435059    0.000509829
            113      0.0422083     0.00049555
            114      0.0409471    0.000481655
            115      0.0397213    0.000468133
            116      0.0385299    0.000454975
            117       0.037372    0.000442172
            118      0.0362468    0.000429715
            119      0.0351533    0.000417596
            120      0.0340906    0.000405806
            121       0.033058    0.000394336
            122      0.0320546    0.000383179
            123      0.0310796    0.000372326
            124      0.0301323     0.00036177
            125      0.0292118    0.000351502
            126      0.0283175    0.000341516
            127      0.0274486    0.000331805
            128      0.0266044     0.00032236
            129      0.0257843    0.000313176
            130      0.0249875    0.000304245
            131      0.0242135     0.00029556
            132      0.0234617    0.000287117
            133      0.0227313    0.000278907
            134      0.0220218    0.000270925
            135      0.0213326    0.000263193
            136      0.0206632     0.00025568
            137      0.0200129    0.000248376
            138      0.0193814    0.000241274
            139       0.018768    0.000234371
            140      0.0181722    0.000227659
            141      0.0175936    0.000221135
            142      0.0170316    0.000214793
            143      0.0164858    0.000208628
            144      0.0159558    0.000202636
            145      0.0154411    0.000196812
            146      0.0149412    0.000191151
            147      0.0144558    0.000185649
            148      0.0139844    0.000180302
            149      0.0135267    0.000175105
            150      0.0130822    0.000170055
            151      0.0126506    0.000165148
            152      0.0122315    0.000160379
            153      0.0118245    0.000155744
            154      0.0114294    0.000151241
            155      0.0110457    0.000146866
            156      0.0106732    0.000142614
            157      0.0103116    0.000138483
            158     0.00996042     0.00013447
            159     0.00961949    0.000130571
            160      0.0092885    0.000126782
            161     0.00896715    0.000123102
            162     0.00865517    0.000119526
            163     0.00835229    0.000116053
            164     0.00805826    0.000112679
            165      0.0077728    0.000109401
            166     0.00749569    0.000106217
            167     0.00722668    0.000103124
            168     0.00696553    0.000100119
            169     0.00671202    9.72011e-05
